Brand,ProductName,FlavorProfile,Type,Ingredients,Caffeine_mg,Sugar_g,Calories,HealthTags,MarketRegion,UseCase,ReviewSummary,MedicalTags
Fresca,Fresca Citrus Blast,Citrus,Sparkling Water,"Carbonated Water, Artificial Flavor, Carbonated Water, Sweetener, Natural Flavors, Sodium Benzoate",160,30,120,Low calorie,South Africa,Hydration,Body really avoid area sound.,High-caffeine
LaCroix,LaCroix Ginger Blast,Ginger,Tonic,"Sweetener, Sweetener, Sweetener, Caffeine, Fruit Juice Concentrate, Sodium Benzoate",80,10,40,Low calorie,South Africa,Post-workout,Identify clear option rock population report color month night leg.,Low-calorie
Pepsi,Pepsi Strawberry Blast,Strawberry,Energy Drink,"Artificial Flavor, Caffeine, Carbonated Water, Fruit Juice Concentrate, Caffeine, Fruit Juice Concentrate",10,0,0,Sugar-free,Brazil,Kids-friendly,Charge mean address option you put.,"Diabetic-safe, Low-caffeine, Low-calorie"
Topo Chico,Topo Chico Herbal Blast,Herbal,Tonic,"Artificial Flavor, Sodium Benzoate, Citric Acid, Carbonated Water, Natural Flavors, Carbonated Water",80,0,0,Zero calorie,India,Hydration,Again pull eye loss leave successful production conference.,"Diabetic-safe, Low-calorie"
Coca-Cola,Coca-Cola Ginger Blast,Ginger,Sparkling Juice,"Artificial Flavor, Carbonated Water, Sweetener, Sugar, Sweetener, Artificial Flavor",160,5,20,Low calorie,Germany,Energy Boost,Money federal tree during how until understand.,"Low-sugar, Low-calorie, High-caffeine"
Mountain Dew,Mountain Dew Citrus Blast,Citrus,Sparkling Juice,"Sweetener, Natural Flavors, Citric Acid, Natural Flavors, Carbonated Water, Citric Acid",40,0,0,"Sugar-free, Zero calorie",Mexico,Kids-friendly,Election white next drop age.,"Diabetic-safe, Low-calorie"
Coca-Cola,Coca-Cola Tamarind Blast,Tamarind,Soda,"Sodium Benzoate, Carbonated Water, Natural Flavors, Sweetener, Citric Acid, Sweetener",0,5,20,"Low sugar, Low calorie, Caffeine-free",Australia,Post-workout,Citizen candidate bank lead analysis figure age among.,"Low-sugar, Caffeine-free, Low-calorie, Kids-friendly"
Thums Up,Thums Up Coconut Blast,Coconut,Diet Soda,"Sweetener, Artificial Flavor, Caffeine, Citric Acid, Caffeine, Caffeine",10,40,160,Regular,Canada,Energy Boost,Easy view letter change get citizen become character recognize organization.,Low-caffeine
LaCroix,LaCroix Citrus Blast,Citrus,Tonic,"Caffeine, Carbonated Water, Sugar, Natural Flavors, Fruit Juice Concentrate, Caffeine",30,0,0,Zero calorie,Mexico,Everyday,Collection toward mission art federal view there partner some grow.,"Diabetic-safe, Low-calorie"
Bovonto,Bovonto Vanilla Blast,Vanilla,Sparkling Water,"Sugar, Fruit Juice Concentrate, Sodium Benzoate, Citric Acid, Sodium Benzoate, Artificial Flavor",160,30,120,High caffeine,Mexico,Post-workout,Nature order out evening show clearly evidence career bit especially wait.,High-caffeine
Irn-Bru,Irn-Bru Tamarind Blast,Tamarind,Sparkling Water,"Caffeine, Sweetener, Sodium Benzoate, Natural Flavors, Herbal Extract, Sweetener",30,10,40,Sugar-free,Canada,Party,Least nearly interesting book own generation might forget pressure mean.,Low-calorie
Appy Fizz,Appy Fizz Pineapple Blast,Pineapple,Sparkling Juice,"Fruit Juice Concentrate, Sugar, Artificial Flavor, Sweetener, Fruit Juice Concentrate, Fruit Juice Concentrate",160,0,0,"Sugar-free, Zero calorie, High caffeine",Japan,Everyday,Win floor popular relationship every however coach girl few not.,"Diabetic-safe, Low-calorie, High-caffeine"
Irn-Bru,Irn-Bru Orange Blast,Orange,Energy Drink,"Sodium Benzoate, Herbal Extract, Sugar, Sweetener, Caffeine, Natural Flavors",0,40,160,Caffeine-free,Mexico,Weight Management,Certain put career quite end continue.,Caffeine-free
Limca,Limca Ginger Blast,Ginger,Sparkling Juice,"Natural Flavors, Citric Acid, Fruit Juice Concentrate, Artificial Flavor, Natural Flavors, Sweetener",10,20,80,Regular,UK,Party,Teacher receive investment skill whose garden machine organization.,Low-caffeine
Coca-Cola,Coca-Cola Coconut Blast,Coconut,Sparkling Juice,"Caffeine, Citric Acid, Citric Acid, Caffeine, Sweetener, Sodium Benzoate",10,10,40,Low calorie,Australia,Kids-friendly,Time development alone send.,"Low-caffeine, Low-calorie"
Monster,Monster Grape Blast,Grape,Soda,"Natural Flavors, Sodium Benzoate, Herbal Extract, Citric Acid, Carbonated Water, Citric Acid",10,30,120,Low calorie,Canada,Post-workout,Win letter soldier house meet me since get large too.,Low-caffeine
Bovonto,Bovonto Lychee Blast,Lychee,Sparkling Juice,"Sweetener, Artificial Flavor, Artificial Flavor, Natural Flavors, Carbonated Water, Sweetener",10,40,160,Zero calorie,Canada,Post-workout,Phone natural middle drive white look stock fire something.,Low-caffeine
